flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10065 100 17,2.007251741,199.911838786,199.911812788,66186,66182,688590,687497,197.904561047,3
11:0:21 11:0:41 10063 100 17,2.006629343,199.908907193,199.908881195,66185,66182,945000,943500,197.902251852,3
11:0:21 11:0:41 10062 100 17,2.006318144,199.907678397,199.907652399,66185,66182,945000,943500,197.901334255,3
11:0:21 11:0:41 10028 100 17,2.001403774,22.678063083,23.024880005,755,784,8310,8310,21.023476231,1
11:0:21 11:0:41 10027 100 17,2.001349975,18.092088144,18.450724169,457,473,8317,8317,16.449374194,1
11:0:21 11:0:41 10025 100 17,2.001237977,17.300015687,17.652454081,436,453,8236,8236,15.651216104,1
11:0:21 11:0:41 10098 100 17,2.017107312,199.893210039,199.893184041,66173,66170,914760,913308,197.876076729,3
11:0:21 11:0:41 10070 100 17,2.008715938,199.857997142,199.857963144,66154,66151,919800,918340,197.849247206,3
11:0:21 11:0:41 10022 100 17,2.00110238,18.044631337,18.403313157,486,509,8272,8272,16.402210777,1
11:0:21 11:0:41 10021 100 17,2.001056781,15.325923794,15.68816766,324,338,8402,8402,13.687110879,1
11:0:21 11:0:41 10053 100 17,2.004015751,78.234672728,78.54147303,9620,9701,65793,65793,76.537457279,2
11:0:21 11:0:41 10020 100 17,2.000998781,13.086195073,13.459760196,252,271,8352,8352,11.458761415,1
11:0:21 11:0:41 10067 100 17,2.00778474,154.288739865,154.58823978,38778,38930,708288,708288,152.58045504,3
11:0:21 11:0:41 10047 100 17,2.002783557,95.834412274,96.146062573,14594,14690,66301,66301,94.143279016,2
11:0:21 11:0:41 10019 100 17,2.000938582,14.111762775,14.483344295,297,318,8328,8328,12.482405713,1
11:0:21 11:0:41 10044 100 17,2.002175158,9.068135954,9.465036866,120,129,8295,8295,7.462861708,1
11:0:21 11:0:41 10080 100 17,2.011699129,199.86581832,199.865792322,66156,66153,945000,943500,197.854093193,3
