flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:31 11:0:41 10002 100 17,2.000049998,126.804863829,126.822356166,1123,1123,124.822306168,1
11:0:31 11:0:41 10014 100 17,2.000388586,89.295731888,89.315517217,3453,3453,87.315128631,1
11:0:31 11:0:41 10094 100 17,2.004480714,349.402954948,349.406328736,2912354,2912555,347.401848022,3
11:0:31 11:0:41 10003 100 17,2.000088197,88.874187187,88.892971112,1474,1474,86.892882915,1
11:0:31 11:0:41 10097 100 17,2.004851911,1608.654370865,1608.654575265,207412865,207413268,1606.649723354,3
11:0:31 11:0:41 10052 100 17,2.001515149,129.359123961,129.374906506,150045,150093,127.373391357,2
11:0:31 11:0:41 10089 100 17,2.004228118,125.371367676,125.387947818,91899,91931,123.3837197,3
11:0:31 11:0:41 10015 100 17,2.000413385,117.371737653,117.389239596,1055,1055,115.388826211,1
11:0:31 11:0:41 10004 100 17,2.000112996,111.899657984,111.917355329,4633,4636,109.917242333,1
11:0:31 11:0:41 10005 100 17,2.000137995,121.448436666,121.467512195,1954,1954,119.4673742,1
11:0:31 11:0:41 10016 100 17,2.000451184,125.351067153,125.368312088,2083,2086,123.367860904,1
11:0:31 11:0:41 10000 100 17,2,117.524727296,117.544603827,1838,1838,115.544603827,1
11:0:31 11:0:41 10017 100 17,2.000476383,75.498532191,75.519319124,1201,1201,73.518842741,1
11:0:31 11:0:41 10029 100 17,2.000837772,124.149592909,124.168720445,2736,2736,122.167882673,1
11:0:31 11:0:41 10098 100 17,2.00488951,987.09935442,987.099411618,78956099,78956490,985.094522108,3
11:0:31 11:0:41 10022 100 17,2.000601578,123.651644246,123.669732792,2069,2084,121.669131214,1
11:0:31 11:0:41 10007 100 17,2.000187193,126.947548928,126.966100659,1089,1092,124.965913466,1
11:0:31 11:0:41 10026 100 17,2.000736574,128.170356764,128.187320698,2052,2052,126.186584124,1
11:0:31 11:0:41 10032 100 17,2.000924569,118.940612035,118.960397158,1845,1845,116.959472589,1
11:0:31 11:0:41 10038 100 17,2.001079763,123.090090484,123.109737221,1097,1097,121.108657458,1
11:0:31 11:0:41 10009 100 17,2.000249991,118.923487902,118.943424423,1845,1845,116.943174432,1
11:0:31 11:0:41 10056 100 17,2.001751546,194.934512413,194.945214778,449026,449122,192.943463232,3
11:0:31 11:0:41 10001 100 17,2.000024799,70.996661894,71.017180819,1104,1106,69.01715602,1
11:0:31 11:0:41 10010 100 17,2.00027519,113.546946082,113.565340024,1623,1625,111.565064834,1
11:0:31 11:0:41 10067 100 17,2.002316336,551.406495505,551.407178029,38499941,38500415,549.404861693,3
11:0:31 11:0:41 10023 100 17,2.000626977,108.616116978,108.635517515,5143,5143,106.634890538,1
11:0:31 11:0:41 10019 100 17,2.000526381,118.923512701,118.943449222,1845,1845,116.942922841,1
