flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:31 11:0:41 10098 100 17,2.00488951,987.09935442,985.094522108,3
11:0:31 11:0:41 10022 100 17,2.000601578,123.651644246,121.669131214,1
11:0:31 11:0:41 10007 100 17,2.000187193,126.947548928,124.965913466,1
11:0:31 11:0:41 10026 100 17,2.000736574,128.170356764,126.186584124,1
11:0:31 11:0:41 10032 100 17,2.000924569,118.940612035,116.959472589,1
11:0:31 11:0:41 10038 100 17,2.001079763,123.090090484,121.108657458,1
11:0:31 11:0:41 10009 100 17,2.000249991,118.923487902,116.943174432,1
11:0:31 11:0:41 10056 100 17,2.001751546,194.934512413,192.943463232,3
11:0:31 11:0:41 10001 100 17,2.000024799,70.996661894,69.01715602,1
11:0:31 11:0:41 10010 100 17,2.00027519,113.546946082,111.565064834,1
11:0:31 11:0:41 10067 100 17,2.002316336,551.406495505,549.404861693,3
11:0:31 11:0:41 10023 100 17,2.000626977,108.616116978,106.634890538,1
11:0:31 11:0:41 10019 100 17,2.000526381,118.923512701,116.942922841,1
11:0:31 11:0:41 10042 100 17,2.001184359,128.182578114,126.197599087,1
11:0:31 11:0:41 10012 100 17,2.000338188,127.531052216,125.55035316,1
11:0:31 11:0:41 10011 100 17,2.000312989,121.754717763,119.771328713,1
11:0:31 11:0:41 10077 100 17,2.003332328,164.897117515,162.910726129,3
11:0:31 11:0:41 10028 100 17,2.000799373,120.143649668,118.161735423,1
11:0:31 11:0:41 10034 100 17,2.000974767,120.066977548,118.085567109,1
11:0:31 11:0:41 10030 100 17,2.000874171,89.167701722,87.188096076,1
11:0:31 11:0:41 10033 100 17,2.000949768,149.211540175,147.22805575,1
11:0:31 11:0:41 10035 100 17,2.001004566,97.83092123,95.8480584,1
11:0:31 11:0:41 10036 100 17,2.001029765,125.018947895,123.038187065,1
11:0:31 11:0:41 10039 100 17,2.001109562,114.163011526,112.180601689,1
11:0:31 11:0:41 10043 100 17,2.001209758,125.66174844,123.679337215,1
11:0:31 11:0:41 10031 100 17,2.00089957,125.232901364,123.249479131,1
11:0:31 11:0:41 10037 100 17,2.001054564,125.502839427,123.520106995,1
11:0:31 11:0:41 10047 100 17,2.001324754,227.893440073,225.901684489,2
11:0:31 11:0:41 10041 100 17,2.00115956,121.614155486,119.63189105,1
11:0:31 11:0:41 10048 100 17,2.001360353,167.865001361,165.878404359,2
11:0:31 11:0:41 10044 100 17,2.001235157,117.700886226,115.718758396,1
11:0:31 11:0:41 10096 100 17,2.004829312,182.386129197,180.397363634,3
11:0:31 11:0:41 10045 100 17,2.001273356,208.518603966,206.528944979,2
11:0:31 11:0:41 10086 100 17,2.004152921,205.396315726,203.403238968,3
11:0:31 11:0:41 10046 100 17,2.001295355,215.298732302,213.308306113,2
11:0:31 11:0:41 10006 100 17,2.000162794,75.371496853,73.391953185,1
11:0:31 11:0:41 10049 100 17,2.001401552,158.82599334,156.841406728,2
11:0:31 11:0:41 10091 100 17,2.004279917,321.080472444,319.080887917,3
11:0:31 11:0:41 10050 100 17,2.001438351,2410.413186983,2408.41180223,2
11:0:31 11:0:41 10051 100 17,2.00147835,130.699084152,128.719243132,2
11:0:31 11:0:41 10053 100 17,2.001550348,140.754663595,138.771868985,2
11:0:31 11:0:41 10054 100 17,2.001593747,218.547535609,216.555273436,2
11:0:31 11:0:41 10008 100 17,2.000224992,127.367750801,125.384737949,1
11:0:31 11:0:41 10058 100 17,2.002082544,113.78551385,111.80308604,3
11:0:31 11:0:41 10057 100 17,2.002058345,414.930634613,412.930671861,3
