flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:,transfer delay:
11:0:21 11:0:41 10087 100 17,2.007289694,250.148301918,250.155598697,1184230,1184390,12022846,12022846,248.148309003,3,0
11:0:21 11:0:41 10086 100 17,2.007264495,206.761987798,206.772875366,737688,737815,8974479,8974479,204.765610871,3,0
11:0:21 11:0:41 10089 100 17,2.008256289,137.353063887,137.373015426,455561,455692,6925624,6925624,135.364759137,3,0
11:0:21 11:0:41 10084 100 17,2.007208697,468.742640355,468.743869944,5438178,5438414,3083719,3083719,466.736661247,3,0
11:0:21 11:0:41 10096 100 17,2.009712875,467.449663103,467.449984903,5393130,5393343,2171127,2171127,465.440272028,3,0
11:0:21 11:0:41 10083 100 17,2.006713497,435.281757163,435.284277758,10441961,10442300,41544715,41544715,433.277564261,3,0
11:0:21 11:0:41 10079 100 17,2.005924505,222.38547757,222.395102339,714687,714817,8794960,8794960,220.389177834,3,0
11:0:21 11:0:41 10077 100 17,2.005857507,459.909226732,459.911033526,26153854,26154272,43616021,43616021,457.905176019,3,0
11:0:21 11:0:41 10076 100 17,2.005835108,519.885837926,519.886854323,13051594,13051708,2147179,2147179,517.881019215,3,0
11:0:21 11:0:41 10099 100 17,2.010130471,266.30008696,266.305673144,1371962,1372129,13426875,13426875,264.295542673,3,0
11:0:21 11:0:41 10072 100 17,2.005461117,199.160420797,199.174673162,548399,548516,7665167,7665167,197.169212045,3,0
11:0:21 11:0:41 10071 100 17,2.005438718,3131.542954235,3131.543000233,211532027,211532379,98864087,98864087,3129.537561515,3,0
11:0:21 11:0:41 10092 100 17,2.008623087,155.854505495,155.873541436,370366,370461,6222453,6222453,153.864918349,3,0
11:0:21 11:0:41 10069 100 17,2.005389719,273.012056307,273.018287491,2712440,2712698,18497733,18497733,271.012897772,3,0
11:0:21 11:0:41 10066 100 17,2.004682923,105.558747001,105.578717532,70096,70115,1634860,1634860,103.574034609,3,0
11:0:21 11:0:41 10065 100 17,2.004399724,147.666002954,147.688123484,124683,124720,2429431,2429431,145.68372376,3,0
11:0:21 11:0:41 10063 100 17,2.004278727,138.330327116,138.347467063,91932,91969,1948313,1948313,136.343188336,3,0
11:0:21 11:0:41 10062 100 17,2.004231729,159.733847638,159.747360198,178064,178114,3288623,3288623,157.743128469,3,0
11:0:21 11:0:41 10028 100 17,2.000806173,128.63927481,128.639557011,2204,2204,5106,5106,126.638750838,1,0
11:0:21 11:0:41 10027 100 17,2.000768173,118.689434967,118.689590567,1335,1335,2823,2823,116.688822394,1,0
11:0:21 11:0:41 10025 100 17,2.000718575,94.753811836,94.753876235,3968,3968,6388,6388,92.75315766,1,0
11:0:21 11:0:41 10098 100 17,2.010083872,847.684098269,847.684183467,1614042,1614068,1259428,1259428,845.674099595,3,0
11:0:21 11:0:41 10070 100 17,2.005416519,525.314404009,525.314941649,13091147,13091275,43169845,43169845,523.30952513,3,0
11:0:21 11:0:41 10022 100 17,2.000617778,120.0334774,120.0337224,2893,2893,7132,7132,118.033104622,1,0
11:0:21 11:0:41 10021 100 17,2.000579579,117.513687265,117.514044464,1159,1159,3096,3096,115.513464885,1,0
11:0:21 11:0:41 10053 100 17,2.00191334,127.910591871,127.910990072,174919,174921,910508,910508,125.909076732,2,0
11:0:21 11:0:41 10020 100 17,2.00055418,125.366682448,125.366845447,2086,2086,2288,2288,123.366291267,1,0
11:0:21 11:0:41 10067 100 17,2.004708122,279.122157599,279.129895379,1601872,1602058,15400202,15400202,277.125187257,3,0
11:0:21 11:0:41 10047 100 17,2.001474552,143.825185813,143.825488414,497338,497340,535563,535563,141.824013862,2,0
11:0:21 11:0:41 10019 100 17,2.000529381,128.255698038,128.255947837,2212,2212,2371,2371,126.255418456,1,0
11:0:21 11:0:41 10044 100 17,2.001257958,124.795437918,124.79571592,1428,1428,3224,3224,122.794457962,1,0
11:0:21 11:0:41 10080 100 17,2.0066299,181.171530365,181.188684114,511965,512063,6895519,6895519,179.182054214,3,0
11:0:21 11:0:41 10024 100 17,2.000693776,91.878289998,91.878532398,1955,1955,4725,4725,89.877838622,1,0
11:0:21 11:0:41 10055 100 17,2.002069738,224.876092709,224.888494876,879715,879862,10225392,10225392,222.886425138,3,0
11:0:21 11:0:41 10018 100 17,2.000504582,118.725786241,118.726088241,1836,1836,2150,2150,116.725583659,1,0
11:0:21 11:0:41 10023 100 17,2.000655977,125.814813626,125.815055428,2994,2994,6327,6327,123.814399451,1,0
11:0:21 11:0:41 10085 100 17,2.007238296,277.23782445,277.244210236,1515120,1515295,14808320,14808320,275.23697194,3,0
11:0:21 11:0:41 10058 100 17,2.002924335,564.624596429,564.626089228,22099710,22100028,68646625,68646625,562.623164893,3,0
11:0:21 11:0:41 10064 100 17,2.004353525,411.65006541,411.653430591,1089226,1089398,11385553,11385553,409.649077066,3,0
11:0:21 11:0:41 10017 100 17,2.000479183,116.325393438,116.325695638,2591,2591,4217,4217,114.325216455,1,0
11:0:21 11:0:41 10078 100 17,2.005878306,210.449122846,210.459608616,937875,938049,10849042,10849042,208.45373031,3,0
11:0:21 11:0:41 10030 100 17,2.000869371,117.529037612,117.529304612,1838,1838,2160,2160,115.528435241,1,0
11:0:21 11:0:41 10073 100 17,2.005486316,296.487171743,296.492642131,2762177,2762398,19550908,19550908,294.487155815,3,0
11:0:21 11:0:41 10036 100 17,2.001031765,124.011783137,124.011885735,2078,2078,2293,2293,122.01085397,1,0
11:0:21 11:0:41 10038 100 17,2.001082163,107.277194389,107.277447191,1657,1657,2484,2484,105.276365028,1,0
11:0:21 11:0:41 10014 100 17,2.000393186,122.313055223,122.313280423,1894,1894,4303,4303,120.312887237,1,0
11:0:21 11:0:41 10000 100 17,2,123.692408728,123.692715927,2084,2084,2290,2290,121.692715927,1,0
11:0:21 11:0:41 10054 100 17,2.002018539,9.517886038,9.518217839,312,312,10000,10000,7.5161993,2,0
11:0:21 11:0:41 10074 100 17,2.005624913,261.608317889,261.613069273,1226424,1226593,12771213,12771213,259.60744436,3,0
11:0:21 11:0:41 10016 100 17,2.000456184,75.24334817,75.24364877,1510,1510,3600,3600,73.243192586,1,0
11:0:21 11:0:41 10003 100 17,2.000086197,101.03736866,101.037671061,2814,2814,4966,4966,99.037584864,1,0
11:0:21 11:0:41 10004 100 17,2.000111196,113.610388046,113.610699046,1629,1629,2511,2511,111.61058785,1,0
11:0:21 11:0:41 10068 100 17,2.00534172,454.968613434,454.969899233,7443574,7443669,27361059,27361059,452.964557513,3,0
11:0:21 11:0:41 10005 100 17,2.000140995,128.183155683,128.183325283,2212,2212,2377,2377,126.183184288,1,0
11:0:21 11:0:41 10088 100 17,2.007314893,249.289408549,249.299145323,1154434,1154588,11882600,11882600,247.29183043,3,0
11:0:21 11:0:41 10039 100 17,2.001107162,128.219060764,128.219302165,2212,2212,2366,2366,126.218195003,1,0
11:0:21 11:0:41 10015 100 17,2.000431385,124.065940742,124.066060343,2072,2073,2290,2290,122.065628958,1,0
11:0:21 11:0:41 10006 100 17,2.000166194,121.758775495,121.759077095,1972,1972,2228,2228,119.758910901,1,0
11:0:21 11:0:41 10041 100 17,2.00117036,106.192207614,106.192351813,1761,1761,3290,3290,104.191181453,1,0
11:0:21 11:0:41 10011 100 17,2.000291589,123.699697499,123.699965699,2084,2084,2300,2300,121.69967411,1,0
11:0:21 11:0:41 10056 100 17,2.002094537,271.763735394,271.770611376,1461593,1461773,14439205,14439205,269.768516839,3,0
11:0:21 11:0:41 10081 100 17,2.006654299,313.10605339,313.110661976,2371545,2371757,1929210,1929210,311.104007677,3,0
11:0:21 11:0:41 10034 100 17,2.000981967,85.083983574,85.084286374,2272,2272,4756,4756,83.083304407,1,0
11:0:21 11:0:41 10007 100 17,2.000191593,107.326737801,107.346607118,7213,7213,8067,8067,105.346415525,1,0
11:0:21 11:0:41 10060 100 17,2.002984333,265.992819566,266.000620943,1326353,1326522,13603225,13603225,263.99763661,3,0
11:0:21 11:0:41 10049 100 17,2.00153415,9.535318364,9.535650764,312,313,10000,10000,7.534116614,2,0
11:0:21 11:0:41 10051 100 17,2.001739744,5871.198498057,5871.198553657,4054649,4054649,104364,104364,5869.196813913,2,0
11:0:21 11:0:41 10008 100 17,2.000216392,100.508822891,100.50908589,4133,4134,6239,6239,98.508869498,1,0
11:0:21 11:0:41 10035 100 17,2.001006966,121.6193254,121.6196316,1972,1972,2226,2226,119.618624634,1,0
11:0:21 11:0:41 10002 100 17,2.000063198,97.228202044,97.228502444,1679,1679,2408,2408,95.228439246,1,0
11:0:21 11:0:41 10010 100 17,2.00026659,128.21242379,128.212707592,2212,2212,2360,2360,126.212441002,1,0
11:0:21 11:0:41 10031 100 17,2.00089417,123.700029897,123.700220898,2084,2084,2293,2293,121.699326728,1,0
11:0:21 11:0:41 10082 100 17,2.006692698,106.781843609,106.805140533,94968,95015,1154827,1154827,104.798447835,3,0
11:0:21 11:0:41 10075 100 17,2.005650312,263.293167799,263.299471985,2203914,2204143,19960647,19960647,261.293821673,3,0
11:0:21 11:0:41 10012 100 17,2.000316588,112.935476009,112.935790209,1381,1381,3362,3362,110.935473621,1,0
11:0:21 11:0:41 10029 100 17,2.000844572,121.44740644,121.447481839,1951,1951,2221,2221,119.446637267,1,0
11:0:21 11:0:41 10033 100 17,2.000956768,111.670937488,111.671057488,1676,1676,2786,2786,109.67010072,1,0
11:0:21 11:0:41 10026 100 17,2.000745574,75.268886065,75.268942866,1079,1079,2214,2214,73.268197292,1,0
11:0:21 11:0:41 10040 100 17,2.001132561,120.556739024,120.557038222,1113,1114,3092,3092,118.555905661,1,0
11:0:21 11:0:41 10032 100 17,2.000918969,125.576467487,125.576607289,1050,1050,2551,2551,123.57568832,1,0
11:0:21 11:0:41 10095 100 17,2.009601479,202.038448917,202.052116281,614634,614754,8147494,8147494,200.042514802,3,0
11:0:21 11:0:41 10037 100 17,2.001056964,125.337485961,125.337552161,2086,2086,2297,2297,123.336495197,1,0
11:0:21 11:0:41 10043 100 17,2.001219958,123.090035544,123.090354944,1351,1351,3229,3229,121.089134986,1,0
11:0:21 11:0:41 10001 100 17,2.000024999,126.676583086,126.676900687,1245,1245,2823,2823,124.676875688,1,0
