flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10021 100 17,2.001056781,6.906566958,6.906772758,191,195,8402,8402,4.905715977,1
11:0:21 11:0:41 10053 100 17,2.004015751,71.73543995,72.040501645,8200,8273,65793,65793,70.036485894,2
11:0:21 11:0:41 10020 100 17,2.000998781,6.712264296,6.712624095,178,189,8352,8352,4.711625314,1
11:0:21 11:0:41 10067 100 17,2.00778474,154.225697633,154.525899759,38856,39008,708288,708288,152.518115019,3
11:0:21 11:0:41 10047 100 17,2.002783557,84.977137042,85.287591952,11674,11758,66301,66301,83.284808395,2
11:0:21 11:0:41 10019 100 17,2.000938582,6.906510359,6.906719359,194,206,8328,8328,4.905780777,1
11:0:21 11:0:41 10044 100 17,2.002175158,6.713316288,6.713537087,101,107,8295,8295,4.711361929,1
11:0:21 11:0:41 10080 100 17,2.011699129,199.76870609,199.768680092,66226,66223,945000,943500,197.756980963,3
11:0:21 11:0:41 10024 100 17,2.001199578,8.088796605,8.089154406,319,328,8299,8299,6.087954828,1
11:0:21 11:0:41 10055 100 17,2.004238749,104.329008205,104.62831953,16256,16351,405328,405328,102.624080781,3
11:0:21 11:0:41 10018 100 17,2.000824782,10.68283382,10.683159221,669,681,8453,8453,8.682334439,1
11:0:21 11:0:41 10023 100 17,2.001135579,6.837607712,6.838163704,168,174,8260,8260,4.837028125,1
11:0:21 11:0:41 10085 100 17,2.013247124,199.775249471,199.775223473,66233,66229,945000,943500,197.761976349,3
11:0:21 11:0:41 10058 100 17,2.005162747,199.806951577,199.806925579,66250,66247,919800,918340,197.801762832,3
11:0:21 11:0:41 10064 100 17,2.006940542,199.814611955,199.814585957,66254,66251,945000,943500,197.807645415,3
11:0:21 11:0:41 10017 100 17,2.000783583,8.580314523,8.580608124,377,387,8339,8339,6.579824541,1
11:0:21 11:0:41 10078 100 17,2.01108633,199.766561296,199.766535298,66225,66222,935624,934124,197.755448968,3
11:0:21 11:0:41 10030 100 17,2.001473572,6.711598909,6.711936908,268,275,8272,8272,4.710463336,1
11:0:21 11:0:41 10073 100 17,2.009633535,40.19221753,40.518164297,2425,2463,114912,114912,38.508530762,3
11:0:21 11:0:41 10036 100 17,2.001718966,7.42949023,7.42959443,263,273,8316,8316,5.427875464,1
11:0:21 11:0:41 10038 100 17,2.001815164,6.837855509,6.838272502,175,181,8370,8370,4.836457338,1
11:0:21 11:0:41 10014 100 17,2.000654786,7.079335547,7.079518939,321,326,8275,8275,5.078864153,1
11:0:21 11:0:41 10000 100 17,2,6.595408316,6.59581291,272,275,8203,8203,4.59581291,1
11:0:21 11:0:41 10054 100 17,2.00420515,29.20610026,29.546152769,1298,1325,66226,66226,27.541947619,2
11:0:21 11:0:41 10074 100 17,2.009857534,199.762963707,199.762937709,66223,66220,945000,943500,197.753080175,3
11:0:21 11:0:41 10016 100 17,2.000751384,6.594960327,6.595362921,243,246,8212,8212,4.594611537,1
11:0:21 11:0:41 10003 100 17,2.000123197,6.333315835,7.078970353,196,201,8336,8336,5.078847156,1
11:0:21 11:0:41 10004 100 17,2.000170596,7.363075148,7.363196949,480,488,8207,8207,5.363026353,1
11:0:21 11:0:41 10068 100 17,2.00809354,199.759350718,199.75932472,66218,66215,945000,943500,197.75123118,3
11:0:21 11:0:41 10005 100 17,2.000192195,6.223425916,6.22388891,201,204,8363,8363,4.223696715,1
