,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,FCT Change,FCT % Change
88,11:0:11 11:0:41 10042 100 17,2.002333561,31.660184962,31.999915248,1486,1525,8253,8253,29.997581687,1,2.002333561,10.115838174,10.116144974,668,680,8394,8394,8.113811413,1,-21.883770274,-72.95178158805959
89,11:0:11 11:0:41 10007 100 17,2.000276994,12.645829525,13.034187581,241,260,8352,8352,11.033910587,1,2.000276994,6.995314759,6.995742359,173,184,8352,8352,4.995465365,1,-6.038445221999999,-54.7262475473964
90,11:0:11 11:0:41 10045 100 17,2.002460358,73.553597066,73.861404553,8430,8503,65726,65726,71.858944195,2,2.002460358,69.632437358,69.943855844,7656,7725,65726,65726,67.941395486,2,-3.917548709000002,-5.451720384826622
91,11:0:11 11:0:41 10047 100 17,2.002727757,67.562905329,67.878343781,7040,7105,65686,65686,65.875616024,2,2.002727757,60.174780623,60.489384877,5718,5776,65686,65686,58.48665712,2,-7.388958903999999,-11.216531017042835
92,11:0:11 11:0:41 10094 100 17,2.014009516,199.86742586,199.867399862,66158,66155,688590,687497,197.853390346,3,2.014009516,199.731487101,199.731461103,66205,66202,688590,687497,197.717451587,3,-0.1359387589999983,-0.0687068130408444
93,11:0:11 11:0:41 10062 100 17,2.005536744,199.790292887,199.79026529,62085,62070,832320,830868,197.784728546,3,2.005536744,199.95013826,199.950110663,62656,62642,861360,859908,197.944573919,3,0.15984537299999602,0.08081785392385328
94,11:0:11 11:0:41 10011 100 17,2.00048939,12.732327839,13.119501103,215,226,8664,8664,11.119011713,1,2.00048939,6.811221128,6.811521125,145,147,8664,8664,4.811031735,1,-6.3079799780000005,-56.7314806461163
95,11:0:11 11:0:41 10050 100 17,2.003182954,54.198099401,54.522290412,4478,4536,66208,66208,52.519107458,2,2.003182954,51.233625617,51.552193604,4083,4138,66208,66208,49.54901065,2,-2.970096808000001,-5.655269009236712
96,11:0:11 11:0:41 10051 100 17,2.003390353,61.964829718,62.28502892,5908,5974,65558,65558,60.281638567,2,2.003390353,53.369266039,53.686558426,4549,4605,65558,65558,51.683168073,2,-8.598470494000004,-14.26383007894392
97,11:0:11 11:0:41 10054 100 17,2.00364835,70.154602431,70.469804105,7608,7676,65657,65657,68.466155755,2,2.00364835,64.798817992,65.111093659,6618,6681,65657,65657,63.107445309,2,-5.3587104460000035,-7.826801997143915
98,11:0:11 11:0:41 10056 100 17,2.003691948,199.883574011,199.883548013,66167,66164,945000,943500,197.879856065,3,2.003691948,199.74879705,199.748771052,66214,66211,945000,943500,197.745079104,3,-0.13477696100000003,-0.06811050082618222
99,11:0:11 11:0:41 10055 100 17,2.003670349,199.897671571,199.897645573,66185,66182,935744,934244,197.893975224,3,2.003670349,199.776039168,199.77601317,66281,66278,947744,946244,197.772342821,3,-0.12163240300000666,-0.061463418915269456
100,11:0:21 11:0:41 10097 100 17,2.016796113,199.89411758,199.894091582,66173,66170,945000,943500,197.877295469,3,2.016796113,199.75910042,199.759074422,66217,66214,945000,943500,197.742278309,3,-0.13501715999998964,-0.06823277005074177
101,11:0:21 11:0:41 10094 100 17,2.015866916,199.85719189,199.857161492,65815,65812,868064,866586,197.841294576,3,2.015866916,199.721822729,199.721796731,65855,65852,868064,866586,197.705929815,3,-0.13536476100000527,-0.06842088315794223
102,11:0:21 11:0:41 10093 100 17,2.015560117,199.886582603,199.886556605,66169,66166,747417,745939,197.870996488,3,2.015560117,199.751932041,199.751906043,66215,66212,747417,745939,197.736345926,3,-0.13465056199999026,-0.06804967094212629
103,11:0:21 11:0:41 10091 100 17,2.015019118,199.885130006,199.885104008,66167,66164,945000,943500,197.87008489,3,2.015019118,199.750353045,199.750327047,66214,66211,945000,943500,197.735307929,3,-0.13477696100000003,-0.06811386424326106
104,11:0:21 11:0:41 10090 100 17,2.014707919,199.881367619,199.881341621,66167,66164,922441,920941,197.866633702,3,2.014707919,199.746057059,199.746031061,66212,66209,922441,920941,197.731323142,3,-0.13531055999999353,-0.0683847283740522
105,11:0:21 11:0:41 10087 100 17,2.013869522,199.878535225,199.878509227,66167,66164,945000,943500,197.864639705,3,2.013869522,199.742166868,199.74214087,66210,66207,945000,943500,197.728271348,3,-0.13636835700000915,-0.06892002391297568
106,11:0:21 11:0:41 10086 100 17,2.013558323,199.877912827,199.877886829,66166,66163,945000,943500,197.864328506,3,2.013558323,199.74154447,199.741518472,66210,66207,945000,943500,197.727960149,3,-0.13636835699998073,-0.06892013230967275
107,11:0:21 11:0:41 10089 100 17,2.01448392,199.88105642,199.881030422,66167,66164,670320,669256,197.866546502,3,2.01448392,199.755693231,199.755667233,66230,66227,672448,671384,197.741183313,3,-0.1253631890000122,-0.06335744531668219
